"","dateTime","day_of_week","month","season"
"175",2014-06-24,"Tuesday",6,"summer"
"176",2014-06-25,"Wednesday",6,"summer"
"177",2014-06-26,"Thursday",6,"summer"
"178",2014-06-27,"Friday",6,"summer"
"179",2014-06-28,"Saturday",6,"summer"
"180",2014-06-29,"Sunday",6,"summer"
"181",2014-06-30,"Monday",6,"summer"
"182",2014-07-01,"Tuesday",7,"summer"
"183",2014-07-02,"Wednesday",7,"summer"
"184",2014-07-03,"Thursday",7,"summer"
"185",2014-07-04,"Friday",7,"summer"
"186",2014-07-05,"Saturday",7,"summer"
"187",2014-07-06,"Sunday",7,"summer"
"188",2014-07-07,"Monday",7,"summer"
"189",2014-07-08,"Tuesday",7,"summer"
"190",2014-07-09,"Wednesday",7,"summer"
"191",2014-07-10,"Thursday",7,"summer"
"192",2014-07-11,"Friday",7,"summer"
"193",2014-07-12,"Saturday",7,"summer"
"194",2014-07-13,"Sunday",7,"summer"
"195",2014-07-14,"Monday",7,"summer"
"196",2014-07-15,"Tuesday",7,"summer"
"197",2014-07-16,"Wednesday",7,"summer"
"198",2014-07-17,"Thursday",7,"summer"
"199",2014-07-18,"Friday",7,"summer"
"200",2014-07-19,"Saturday",7,"summer"
"201",2014-07-20,"Sunday",7,"summer"
"202",2014-07-21,"Monday",7,"summer"
"203",2014-07-22,"Tuesday",7,"summer"
"204",2014-07-23,"Wednesday",7,"summer"
"205",2014-07-24,"Thursday",7,"summer"
"206",2014-07-25,"Friday",7,"summer"
"207",2014-07-26,"Saturday",7,"summer"
"208",2014-07-27,"Sunday",7,"summer"
"209",2014-07-28,"Monday",7,"summer"
"210",2014-07-29,"Tuesday",7,"summer"
"211",2014-07-30,"Wednesday",7,"summer"
"212",2014-07-31,"Thursday",7,"summer"
"213",2014-08-01,"Friday",8,"summer"
"214",2014-08-02,"Saturday",8,"summer"
"215",2014-08-03,"Sunday",8,"summer"
"216",2014-08-04,"Monday",8,"summer"
"217",2014-08-05,"Tuesday",8,"summer"
"218",2014-08-06,"Wednesday",8,"summer"
"219",2014-08-07,"Thursday",8,"summer"
"220",2014-08-08,"Friday",8,"summer"
"221",2014-08-09,"Saturday",8,"summer"
"222",2014-08-10,"Sunday",8,"summer"
"223",2014-08-11,"Monday",8,"summer"
"224",2014-08-12,"Tuesday",8,"summer"
"225",2014-08-13,"Wednesday",8,"summer"
"226",2014-08-14,"Thursday",8,"summer"
"227",2014-08-15,"Friday",8,"summer"
"228",2014-08-16,"Saturday",8,"summer"
"229",2014-08-17,"Sunday",8,"summer"
"230",2014-08-18,"Monday",8,"summer"
"231",2014-08-19,"Tuesday",8,"summer"
"232",2014-08-20,"Wednesday",8,"summer"
"233",2014-08-21,"Thursday",8,"summer"
"234",2014-08-22,"Friday",8,"summer"
"235",2014-08-23,"Saturday",8,"summer"
"236",2014-08-24,"Sunday",8,"summer"
"237",2014-08-25,"Monday",8,"summer"
"238",2014-08-26,"Tuesday",8,"summer"
"239",2014-08-27,"Wednesday",8,"summer"
"240",2014-08-28,"Thursday",8,"summer"
"241",2014-08-29,"Friday",8,"summer"
"242",2014-08-30,"Saturday",8,"summer"
"243",2014-08-31,"Sunday",8,"summer"
"244",2014-09-01,"Monday",9,"summer"
"245",2014-09-02,"Tuesday",9,"summer"
"246",2014-09-03,"Wednesday",9,"summer"
"247",2014-09-04,"Thursday",9,"summer"
"248",2014-09-05,"Friday",9,"summer"
"249",2014-09-06,"Saturday",9,"summer"
"250",2014-09-07,"Sunday",9,"summer"
"251",2014-09-08,"Monday",9,"summer"
"252",2014-09-09,"Tuesday",9,"summer"
"253",2014-09-10,"Wednesday",9,"summer"
"254",2014-09-11,"Thursday",9,"summer"
"255",2014-09-12,"Friday",9,"summer"
"256",2014-09-13,"Saturday",9,"summer"
"257",2014-09-14,"Sunday",9,"summer"
"258",2014-09-15,"Monday",9,"summer"
"259",2014-09-16,"Tuesday",9,"summer"
"260",2014-09-17,"Wednesday",9,"summer"
"261",2014-09-18,"Thursday",9,"summer"
"262",2014-09-19,"Friday",9,"summer"
"263",2014-09-20,"Saturday",9,"summer"
"264",2014-09-21,"Sunday",9,"summer"
"265",2014-09-22,"Monday",9,"summer"
"266",2014-09-23,"Tuesday",9,"summer"
"267",2014-09-24,"Wednesday",9,"summer"
"268",2014-09-25,"Thursday",9,"summer"
"269",2014-09-26,"Friday",9,"summer"
"270",2014-09-27,"Saturday",9,"summer"
"271",2014-09-28,"Sunday",9,"summer"
"272",2014-09-29,"Monday",9,"summer"
"273",2014-09-30,"Tuesday",9,"summer"
"274",2014-10-01,"Wednesday",10,"fall"
"275",2014-10-02,"Thursday",10,"fall"
"276",2014-10-03,"Friday",10,"fall"
"277",2014-10-04,"Saturday",10,"fall"
"278",2014-10-05,"Sunday",10,"fall"
"279",2014-10-06,"Monday",10,"fall"
"280",2014-10-07,"Tuesday",10,"fall"
"281",2014-10-08,"Wednesday",10,"fall"
"282",2014-10-09,"Thursday",10,"fall"
"283",2014-10-10,"Friday",10,"fall"
"284",2014-10-11,"Saturday",10,"fall"
"285",2014-10-12,"Sunday",10,"fall"
"286",2014-10-13,"Monday",10,"fall"
"287",2014-10-14,"Tuesday",10,"fall"
"288",2014-10-15,"Wednesday",10,"fall"
"289",2014-10-16,"Thursday",10,"fall"
"290",2014-10-17,"Friday",10,"fall"
"291",2014-10-18,"Saturday",10,"fall"
"292",2014-10-19,"Sunday",10,"fall"
"293",2014-10-20,"Monday",10,"fall"
"294",2014-10-21,"Tuesday",10,"fall"
"295",2014-10-22,"Wednesday",10,"fall"
"296",2014-10-23,"Thursday",10,"fall"
"297",2014-10-24,"Friday",10,"fall"
"298",2014-10-25,"Saturday",10,"fall"
"299",2014-10-26,"Sunday",10,"fall"
"300",2014-10-27,"Monday",10,"fall"
"301",2014-10-28,"Tuesday",10,"fall"
"302",2014-10-29,"Wednesday",10,"fall"
"303",2014-10-30,"Thursday",10,"fall"
"304",2014-10-31,"Friday",10,"fall"
"305",2014-11-01,"Saturday",11,"fall"
"306",2014-11-02,"Sunday",11,"fall"
"307",2014-11-03,"Monday",11,"fall"
"308",2014-11-04,"Tuesday",11,"fall"
"309",2014-11-05,"Wednesday",11,"fall"
"310",2014-11-06,"Thursday",11,"fall"
"311",2014-11-07,"Friday",11,"fall"
"312",2014-11-08,"Saturday",11,"fall"
"313",2014-11-09,"Sunday",11,"fall"
"314",2014-11-10,"Monday",11,"fall"
"315",2014-11-11,"Tuesday",11,"fall"
"316",2014-11-12,"Wednesday",11,"fall"
"317",2014-11-13,"Thursday",11,"fall"
"318",2014-11-14,"Friday",11,"fall"
"319",2014-11-15,"Saturday",11,"fall"
"320",2014-11-16,"Sunday",11,"fall"
"321",2014-11-17,"Monday",11,"fall"
"322",2014-11-18,"Tuesday",11,"fall"
"323",2014-11-19,"Wednesday",11,"fall"
"324",2014-11-20,"Thursday",11,"fall"
"325",2014-11-21,"Friday",11,"fall"
"326",2014-11-22,"Saturday",11,"fall"
"327",2014-11-23,"Sunday",11,"fall"
"328",2014-11-24,"Monday",11,"fall"
"329",2014-11-25,"Tuesday",11,"fall"
"330",2014-11-26,"Wednesday",11,"fall"
"331",2014-11-27,"Thursday",11,"fall"
"332",2014-11-28,"Friday",11,"fall"
"333",2014-11-29,"Saturday",11,"fall"
"334",2014-11-30,"Sunday",11,"fall"
"335",2014-12-01,"Monday",12,"winter"
"336",2014-12-02,"Tuesday",12,"winter"
"337",2014-12-03,"Wednesday",12,"winter"
"338",2014-12-04,"Thursday",12,"winter"
"339",2014-12-05,"Friday",12,"winter"
"340",2014-12-06,"Saturday",12,"winter"
"341",2014-12-07,"Sunday",12,"winter"
"342",2014-12-08,"Monday",12,"winter"
"343",2014-12-09,"Tuesday",12,"winter"
"344",2014-12-10,"Wednesday",12,"winter"
"345",2014-12-11,"Thursday",12,"winter"
"346",2014-12-12,"Friday",12,"winter"
"347",2014-12-13,"Saturday",12,"winter"
"348",2014-12-14,"Sunday",12,"winter"
"349",2014-12-15,"Monday",12,"winter"
"350",2014-12-16,"Tuesday",12,"winter"
"351",2014-12-17,"Wednesday",12,"winter"
"352",2014-12-18,"Thursday",12,"winter"
"353",2014-12-19,"Friday",12,"winter"
"354",2014-12-20,"Saturday",12,"winter"
"355",2014-12-21,"Sunday",12,"winter"
"356",2014-12-22,"Monday",12,"winter"
"357",2014-12-23,"Tuesday",12,"winter"
"358",2014-12-24,"Wednesday",12,"winter"
"359",2014-12-25,"Thursday",12,"winter"
"360",2014-12-26,"Friday",12,"winter"
"361",2014-12-27,"Saturday",12,"winter"
"362",2014-12-28,"Sunday",12,"winter"
"363",2014-12-29,"Monday",12,"winter"
"364",2014-12-30,"Tuesday",12,"winter"
"365",2014-12-31,"Wednesday",12,"winter"
"366",2015-01-01,"Thursday",1,"winter"
"367",2015-01-02,"Friday",1,"winter"
"368",2015-01-03,"Saturday",1,"winter"
"369",2015-01-04,"Sunday",1,"winter"
"370",2015-01-05,"Monday",1,"winter"
"371",2015-01-06,"Tuesday",1,"winter"
"372",2015-01-07,"Wednesday",1,"winter"
"373",2015-01-08,"Thursday",1,"winter"
"374",2015-01-09,"Friday",1,"winter"
"375",2015-01-10,"Saturday",1,"winter"
"376",2015-01-11,"Sunday",1,"winter"
"377",2015-01-12,"Monday",1,"winter"
"378",2015-01-13,"Tuesday",1,"winter"
"379",2015-01-14,"Wednesday",1,"winter"
"380",2015-01-15,"Thursday",1,"winter"
"381",2015-01-16,"Friday",1,"winter"
"382",2015-01-17,"Saturday",1,"winter"
"383",2015-01-18,"Sunday",1,"winter"
"384",2015-01-19,"Monday",1,"winter"
"385",2015-01-20,"Tuesday",1,"winter"
"386",2015-01-21,"Wednesday",1,"winter"
"387",2015-01-22,"Thursday",1,"winter"
"388",2015-01-23,"Friday",1,"winter"
"389",2015-01-24,"Saturday",1,"winter"
"390",2015-01-25,"Sunday",1,"winter"
"391",2015-01-26,"Monday",1,"winter"
"392",2015-01-27,"Tuesday",1,"winter"
"393",2015-01-28,"Wednesday",1,"winter"
"394",2015-01-29,"Thursday",1,"winter"
"395",2015-01-30,"Friday",1,"winter"
"396",2015-01-31,"Saturday",1,"winter"
"397",2015-02-01,"Sunday",2,"winter"
"398",2015-02-02,"Monday",2,"winter"
"399",2015-02-03,"Tuesday",2,"winter"
"400",2015-02-04,"Wednesday",2,"winter"
"401",2015-02-05,"Thursday",2,"winter"
"402",2015-02-06,"Friday",2,"winter"
"403",2015-02-07,"Saturday",2,"winter"
"404",2015-02-08,"Sunday",2,"winter"
"405",2015-02-09,"Monday",2,"winter"
"406",2015-02-10,"Tuesday",2,"winter"
"407",2015-02-11,"Wednesday",2,"winter"
"408",2015-02-12,"Thursday",2,"winter"
"409",2015-02-13,"Friday",2,"winter"
"410",2015-02-14,"Saturday",2,"winter"
"411",2015-02-15,"Sunday",2,"winter"
"412",2015-02-16,"Monday",2,"winter"
"413",2015-02-17,"Tuesday",2,"winter"
"414",2015-02-18,"Wednesday",2,"winter"
"415",2015-02-19,"Thursday",2,"winter"
"416",2015-02-20,"Friday",2,"winter"
"417",2015-02-21,"Saturday",2,"winter"
"418",2015-02-22,"Sunday",2,"winter"
"419",2015-02-23,"Monday",2,"winter"
"420",2015-02-24,"Tuesday",2,"winter"
"421",2015-02-25,"Wednesday",2,"winter"
"422",2015-02-26,"Thursday",2,"winter"
"423",2015-02-27,"Friday",2,"winter"
"424",2015-02-28,"Saturday",2,"winter"
"425",2015-03-01,"Sunday",3,"spring"
"426",2015-03-02,"Monday",3,"spring"
"427",2015-03-03,"Tuesday",3,"spring"
"428",2015-03-04,"Wednesday",3,"spring"
"429",2015-03-05,"Thursday",3,"spring"
"430",2015-03-06,"Friday",3,"spring"
"431",2015-03-07,"Saturday",3,"spring"
"432",2015-03-08,"Sunday",3,"spring"
"433",2015-03-09,"Monday",3,"spring"
"434",2015-03-10,"Tuesday",3,"spring"
"435",2015-03-11,"Wednesday",3,"spring"
"436",2015-03-12,"Thursday",3,"spring"
"437",2015-03-13,"Friday",3,"spring"
"438",2015-03-14,"Saturday",3,"spring"
"439",2015-03-15,"Sunday",3,"spring"
"440",2015-03-16,"Monday",3,"spring"
"441",2015-03-17,"Tuesday",3,"spring"
"442",2015-03-18,"Wednesday",3,"spring"
"443",2015-03-19,"Thursday",3,"spring"
"444",2015-03-20,"Friday",3,"spring"
"445",2015-03-21,"Saturday",3,"spring"
